Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Name
3.5,2.0,3.1,1.0,1.5,Celtis australis
6.0,3.0,7.1,1.8,7.2,Platanus x hispanica
4.5,3.0,7.1,1.3,1.8,Celtis australis
8.0,3.0,7.1,2.4,3.2,Celtis australis
9.0,8.5,56.7,2.7,18.8,Platanus x hispanica
9.0,7.0,38.5,2.7,2.8,Celtis australis
24.0,12.0,113.1,7.2,54.7,Platanus x hispanica
8.3,6.7,35.2,2.5,3.5,Celtis australis
7.0,5.0,19.6,2.1,2.9,Celtis australis
7.0,4.0,12.6,2.1,7.3,Carpinus betulus
12.0,11.5,103.9,3.6,5.1,Celtis australis
4.5,2.5,4.9,1.3,5.6,Carpinus betulus
12.0,10.0,78.5,3.6,4.6,Celtis australis
3.0,9.6,72.5,0.9,2.5,Platanus x hispanica
14.0,10.0,78.5,4.2,53.7,Aesculus hippocastanum
6.0,2.5,4.9,1.8,2.6,Tilia cordata
8.0,7.0,38.5,2.4,8.6,Tilia cordata
3.0,1.0,0.8,0.9,1.6,Celtis australis
9.0,8.0,50.3,2.7,5.4,Celtis australis
5.0,4.0,12.6,1.5,6.5,Platanus x hispanica
10.0,6.0,28.3,3.0,17.1,Carpinus betulus
8.0,12.0,113.1,2.4,47.1,Aesculus hippocastanum
4.0,3.0,7.1,1.2,3.0,Tilia cordata
6.0,10.0,78.5,1.8,3.9,Celtis australis
6.0,4.0,12.6,1.8,9.9,Carpinus betulus
6.4,4.4,14.9,1.9,6.8,Tilia cordata
8.0,8.0,50.3,2.4,12.6,Carpinus betulus
8.0,7.0,38.5,2.4,42.0,Aesculus hippocastanum
9.0,9.0,63.6,2.7,5.2,Celtis australis
6.0,6.0,28.3,1.8,6.0,Tilia cordata
7.0,5.0,19.6,2.1,3.9,Celtis australis
4.0,2.0,3.1,1.2,3.0,Tilia cordata
4.5,2.5,4.9,1.3,4.5,Carpinus betulus
6.0,12.0,113.1,1.8,19.0,Aesculus hippocastanum
8.0,8.0,50.3,2.4,2.8,Celtis australis
11.0,6.0,28.3,3.3,7.9,Carpinus betulus
8.0,8.0,50.3,2.4,25.5,Aesculus hippocastanum
7.0,11.0,95.0,2.1,18.8,Platanus x hispanica
5.0,6.0,28.3,1.5,3.4,Celtis australis
4.0,2.5,4.9,1.2,3.0,Tilia cordata
4.0,1.5,1.8,1.2,1.3,Celtis australis
6.0,6.0,28.3,1.8,9.2,Aesculus hippocastanum
8.0,6.0,28.3,2.4,5.1,Celtis australis
12.0,12.0,113.1,3.6,4.7,Celtis australis
3.0,1.0,0.8,0.9,1.4,Celtis australis
6.0,4.0,12.6,1.8,7.9,Platanus x hispanica
4.5,1.0,0.8,1.3,2.2,Tilia cordata
4.0,1.5,1.8,1.2,4.5,Carpinus betulus
10.0,8.0,50.3,3.0,3.0,Celtis australis
4.0,2.0,3.1,1.2,3.0,Carpinus betulus
11.0,8.0,50.3,3.3,11.7,Platanus x hispanica
8.0,8.0,50.3,2.4,2.8,Celtis australis
10.0,9.0,63.6,3.0,3.1,Celtis australis
4.0,5.0,19.6,1.2,2.2,Celtis australis
10.0,6.0,28.3,3.0,10.2,Tilia cordata
6.0,12.0,113.1,1.8,4.0,Celtis australis
8.3,6.7,35.2,2.5,3.5,Celtis australis
5.0,3.0,7.1,1.5,2.1,Celtis australis
5.0,3.5,9.6,1.5,2.2,Celtis australis
20.0,7.0,38.5,6.0,33.2,Tilia cordata
12.0,14.0,153.9,3.6,54.7,Platanus x hispanica
17.0,11.0,95.0,5.1,8.2,Platanus x hispanica
7.0,2.0,3.1,2.1,5.2,Platanus x hispanica
6.0,4.0,12.6,1.8,6.1,Carpinus betulus
7.0,8.0,50.3,2.1,2.5,Celtis australis
13.0,11.0,95.0,3.9,4.5,Celtis australis
12.0,12.0,113.1,3.6,8.2,Platanus x hispanica
6.0,6.0,28.3,1.8,3.0,Celtis australis
9.0,8.0,50.3,2.7,5.8,Celtis australis
11.0,8.0,50.3,3.3,3.9,Celtis australis
3.0,1.0,0.8,0.9,5.8,Aesculus hippocastanum
9.0,7.0,38.5,2.7,4.0,Celtis australis
8.0,5.5,23.8,2.4,7.2,Platanus x hispanica
4.0,1.5,1.8,1.2,3.0,Carpinus betulus
6.0,2.0,3.1,1.8,2.6,Tilia cordata
6.0,4.0,12.6,1.8,1.8,Celtis australis
6.0,6.0,28.3,1.8,17.9,Platanus x hispanica
6.0,6.0,28.3,1.8,0.3,Celtis australis
10.0,10.0,78.5,3.0,3.5,Celtis australis
6.0,9.0,63.6,1.8,4.6,Celtis australis
5.0,4.0,12.6,1.5,3.0,Tilia cordata
9.0,6.0,28.3,2.7,20.8,Platanus x hispanica
10.0,6.0,28.3,3.0,8.6,Tilia cordata
10.0,10.0,78.5,3.0,35.8,Aesculus hippocastanum
6.0,4.0,12.6,1.8,4.2,Tilia cordata
5.0,4.0,12.6,1.5,6.5,Tilia cordata
15.0,4.0,12.6,4.5,10.5,Carpinus betulus
4.5,3.0,7.1,1.3,1.8,Celtis australis
8.0,7.0,38.5,2.4,2.3,Celtis australis
6.0,6.0,28.3,1.8,3.1,Celtis australis
6.5,6.0,28.3,1.9,9.4,Platanus x hispanica
8.0,8.0,50.3,2.4,13.0,Tilia cordata
7.0,6.0,28.3,2.1,9.9,Carpinus betulus
10.0,6.0,28.3,3.0,7.9,Platanus x hispanica
9.0,8.0,50.3,2.7,49.1,Aesculus hippocastanum
4.0,2.5,4.9,1.2,3.0,Tilia cordata
8.0,6.0,28.3,2.4,21.0,Aesculus hippocastanum
7.0,6.0,28.3,2.1,6.1,Carpinus betulus
3.0,1.0,0.8,0.9,4.3,Aesculus hippocastanum
18.0,9.0,63.6,5.4,5.8,Celtis australis
5.0,3.0,7.1,1.5,1.8,Celtis australis
13.0,11.0,95.0,3.9,4.9,Celtis australis
6.0,4.0,12.6,1.8,3.0,Tilia cordata
8.0,8.0,50.3,2.4,15.9,Aesculus hippocastanum
4.0,4.0,12.6,1.2,2.2,Celtis australis
8.0,9.0,63.6,2.4,5.8,Celtis australis
4.0,1.5,1.8,1.2,3.0,Carpinus betulus
12.0,8.0,50.3,3.6,47.3,Aesculus hippocastanum
18.0,12.0,113.1,5.4,45.0,Tilia cordata
3.5,2.0,3.1,1.0,3.4,Aesculus hippocastanum
13.0,4.0,12.6,3.9,5.8,Celtis australis
9.0,6.0,28.3,2.7,30.5,Aesculus hippocastanum
4.0,1.0,0.8,1.2,1.8,Tilia cordata
6.0,4.0,12.6,1.8,6.1,Carpinus betulus
6.0,6.0,28.3,1.8,7.9,Aesculus hippocastanum
23.0,17.0,227.0,6.9,80.2,Platanus x hispanica
3.5,1.5,1.8,1.0,2.5,Aesculus hippocastanum
7.0,7.0,38.5,2.1,7.9,Platanus x hispanica
13.0,12.5,122.7,3.9,5.4,Celtis australis
4.0,2.0,3.1,1.2,7.9,Carpinus betulus
7.0,3.0,7.1,2.1,10.5,Carpinus betulus
4.0,2.5,4.9,1.2,5.6,Carpinus betulus
5.0,3.0,7.1,1.5,23.2,Aesculus hippocastanum
7.0,3.0,7.1,2.1,6.1,Carpinus betulus
4.5,3.0,7.1,1.3,1.8,Celtis australis
14.0,4.5,15.9,4.2,4.8,Celtis australis
22.0,11.0,95.0,6.6,81.2,Platanus x hispanica
20.0,4.0,12.6,6.0,1.0,Carpinus betulus
9.0,6.0,28.3,2.7,10.5,Carpinus betulus
4.5,2.5,4.9,1.3,4.5,Carpinus betulus
3.0,1.0,0.8,0.9,1.8,Tilia cordata
7.0,6.0,28.3,2.1,12.4,Tilia cordata
9.0,11.0,95.0,2.7,37.8,Aesculus hippocastanum
12.0,10.0,78.5,3.6,42.7,Aesculus hippocastanum
7.0,6.0,28.3,2.1,6.5,Tilia cordata
8.0,8.0,50.3,2.4,16.0,Tilia cordata
5.0,4.0,12.6,1.5,2.0,Celtis australis
10.0,10.0,78.5,3.0,46.9,Aesculus hippocastanum
15.0,12.0,113.1,4.5,5.1,Celtis australis
6.0,5.0,19.6,1.8,49.7,Aesculus hippocastanum
7.0,5.0,19.6,2.1,8.6,Carpinus betulus
4.0,1.0,0.8,1.2,1.5,Tilia cordata
7.0,4.0,12.6,2.1,7.3,Carpinus betulus
14.0,8.0,50.3,4.2,24.9,Platanus x hispanica
9.0,11.0,95.0,2.7,37.8,Aesculus hippocastanum
6.0,7.0,38.5,1.8,3.2,Celtis australis
6.0,6.0,28.3,1.8,5.3,Celtis australis
4.5,3.5,9.6,1.3,7.8,Aesculus hippocastanum
15.0,6.0,28.3,4.5,33.2,Tilia cordata
5.0,4.0,12.6,1.5,2.6,Celtis australis
12.0,12.0,113.1,3.6,50.9,Aesculus hippocastanum
6.0,4.0,12.6,1.8,6.7,Carpinus betulus
3.0,2.0,3.1,0.9,1.3,Carpinus betulus
4.5,2.0,3.1,1.3,1.8,Tilia cordata
7.0,6.0,28.3,2.1,6.0,Tilia cordata
7.0,6.0,28.3,2.1,3.8,Celtis australis
3.0,2.0,3.1,0.9,4.3,Aesculus hippocastanum
16.0,10.0,78.5,4.8,28.1,Platanus x hispanica
9.0,6.0,28.3,2.7,16.2,Carpinus betulus
8.0,7.0,38.5,2.4,7.5,Tilia cordata
3.0,2.0,3.1,0.9,5.6,Carpinus betulus
4.0,3.0,7.1,1.2,5.0,Carpinus betulus
8.0,8.0,50.3,2.4,2.6,Celtis australis
5.0,2.5,4.9,1.5,3.4,Tilia cordata
8.0,6.0,28.3,2.4,9.9,Carpinus betulus
5.0,5.0,19.6,1.5,5.6,Tilia cordata
5.0,3.0,7.1,1.5,2.1,Celtis australis
4.0,4.0,12.6,1.2,1.8,Celtis australis
4.0,7.0,38.5,1.2,12.6,Platanus x hispanica
23.0,12.0,113.1,6.9,93.1,Platanus x hispanica
6.0,5.0,19.6,1.8,4.2,Tilia cordata
11.0,8.0,50.3,3.3,21.4,Aesculus hippocastanum
3.5,1.0,0.8,1.0,1.1,Celtis australis
8.5,7.0,38.5,2.6,30.4,Aesculus hippocastanum
6.0,6.0,28.3,1.8,18.1,Aesculus hippocastanum
6.0,6.0,28.3,1.8,7.9,Platanus x hispanica
13.0,12.0,113.1,3.9,4.6,Celtis australis
6.2,3.6,10.1,1.9,8.6,Carpinus betulus
8.0,10.0,78.5,2.4,3.9,Celtis australis
4.0,2.0,3.1,1.2,5.4,Aesculus hippocastanum
4.5,1.5,1.8,1.3,3.0,Platanus x hispanica
12.0,9.0,63.6,3.6,47.3,Aesculus hippocastanum
7.0,6.0,28.3,2.1,6.0,Tilia cordata
4.0,1.5,1.8,1.2,3.0,Platanus x hispanica
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
6.0,6.0,28.3,1.8,2.5,Celtis australis
8.0,6.0,28.3,2.4,16.4,Carpinus betulus
4.0,2.5,4.9,1.2,3.0,Tilia cordata
4.0,2.0,3.1,1.2,3.4,Aesculus hippocastanum
14.0,12.0,113.1,4.2,13.0,Tilia cordata
5.0,1.5,1.8,1.5,3.0,Platanus x hispanica
8.0,7.0,38.5,2.4,7.9,Platanus x hispanica
3.0,9.6,72.5,0.9,2.5,Platanus x hispanica
3.0,1.0,0.8,0.9,2.1,Carpinus betulus
5.0,4.0,12.6,1.5,1.7,Celtis australis
5.0,2.5,4.9,1.5,4.5,Carpinus betulus
12.0,12.0,113.1,3.6,4.7,Celtis australis
9.0,7.0,38.5,2.7,3.3,Celtis australis
7.0,5.0,19.6,2.1,13.0,Tilia cordata
4.5,3.0,7.1,1.3,1.8,Celtis australis
14.0,4.0,12.6,4.2,3.1,Celtis australis
6.0,3.0,7.1,1.8,9.9,Carpinus betulus
8.3,6.7,35.2,2.5,3.5,Celtis australis
6.0,5.0,19.6,1.8,7.2,Platanus x hispanica
8.0,7.0,38.5,2.4,10.5,Carpinus betulus
9.0,8.0,50.3,2.7,30.5,Aesculus hippocastanum
7.0,7.0,38.5,2.1,16.0,Platanus x hispanica
12.0,7.0,38.5,3.6,27.4,Tilia cordata
7.0,8.0,50.3,2.1,3.0,Celtis australis
8.3,6.7,35.2,2.5,3.5,Celtis australis
12.0,6.0,28.3,3.6,47.3,Aesculus hippocastanum
6.0,6.0,28.3,1.8,8.6,Platanus x hispanica
5.0,3.0,7.1,1.5,10.5,Carpinus betulus
5.0,4.0,12.6,1.5,2.6,Celtis australis
8.0,4.0,12.6,2.4,7.0,Tilia cordata
4.0,4.0,12.6,1.2,3.4,Aesculus hippocastanum
7.0,6.0,28.3,2.1,26.3,Aesculus hippocastanum
6.0,6.0,28.3,1.8,7.9,Carpinus betulus
7.0,5.0,19.6,2.1,2.8,Celtis australis
10.0,9.0,63.6,3.0,3.4,Celtis australis
6.0,8.0,50.3,1.8,7.9,Aesculus hippocastanum
9.0,5.0,19.6,2.7,10.5,Carpinus betulus
4.0,2.5,4.9,1.2,3.0,Tilia cordata
11.0,11.0,95.0,3.3,59.3,Aesculus hippocastanum
6.0,5.0,19.6,1.8,2.1,Celtis australis
15.0,12.0,113.1,4.5,5.1,Celtis australis
15.0,8.0,50.3,4.5,56.9,Aesculus hippocastanum
6.0,6.0,28.3,1.8,20.7,Aesculus hippocastanum
6.0,4.0,12.6,1.8,4.2,Tilia cordata
6.0,2.0,3.1,1.8,3.4,Celtis australis
16.0,9.0,63.6,4.8,4.7,Celtis australis
10.0,7.0,38.5,3.0,4.7,Celtis australis
7.0,2.0,3.1,2.1,6.1,Carpinus betulus
4.0,4.0,12.6,1.2,3.4,Tilia cordata
7.0,6.0,28.3,2.1,35.3,Aesculus hippocastanum
15.0,12.0,113.1,4.5,5.1,Celtis australis
11.0,13.0,132.7,3.3,72.3,Aesculus hippocastanum
7.0,4.5,15.9,2.1,9.3,Carpinus betulus
7.0,6.0,28.3,2.1,8.6,Tilia cordata
8.0,7.0,38.5,2.4,2.8,Celtis australis
10.0,10.0,78.5,3.0,52.9,Aesculus hippocastanum
8.0,4.0,12.6,2.4,6.5,Tilia cordata
6.0,5.0,19.6,1.8,2.1,Celtis australis
3.5,4.0,12.6,1.0,1.8,Celtis australis
14.0,8.0,50.3,4.2,14.8,Carpinus betulus
25.0,4.0,12.6,7.5,3.9,Celtis australis
5.0,4.0,12.6,1.5,2.1,Celtis australis
7.0,6.0,28.3,2.1,7.0,Tilia cordata
4.0,2.0,3.1,1.2,7.9,Carpinus betulus
10.0,8.0,50.3,3.0,9.6,Tilia cordata
12.0,8.0,50.3,3.6,19.8,Platanus x hispanica
10.0,6.0,28.3,3.0,31.4,Platanus x hispanica
4.0,4.0,12.6,1.2,1.8,Celtis australis
5.0,4.0,12.6,1.5,6.1,Carpinus betulus
8.3,6.7,35.2,2.5,3.5,Celtis australis
8.0,4.0,12.6,2.4,10.5,Carpinus betulus
3.5,1.0,0.8,1.0,4.5,Carpinus betulus
10.0,8.0,50.3,3.0,46.9,Aesculus hippocastanum
5.0,6.0,28.3,1.5,3.4,Celtis australis
7.0,4.0,12.6,2.1,7.3,Carpinus betulus
7.0,6.0,28.3,2.1,6.5,Tilia cordata
12.0,10.0,78.5,3.6,4.5,Celtis australis
21.0,15.0,176.7,6.3,54.7,Platanus x hispanica
23.0,13.0,132.7,6.9,87.4,Platanus x hispanica
8.0,6.0,28.3,2.4,2.6,Celtis australis
4.0,1.5,1.8,1.2,2.2,Tilia cordata
6.0,4.0,12.6,1.8,5.1,Tilia cordata
5.0,4.0,12.6,1.5,2.6,Celtis australis
5.0,4.0,12.6,1.5,2.2,Celtis australis
6.0,5.0,19.6,1.8,3.3,Celtis australis
19.0,19.0,283.5,5.7,97.2,Platanus x hispanica
8.0,3.0,7.1,2.4,5.6,Carpinus betulus
6.0,4.0,12.6,1.8,5.9,Platanus x hispanica
4.0,1.5,1.8,1.2,2.5,Platanus x hispanica
7.0,8.0,50.3,2.1,2.8,Celtis australis
6.0,7.0,38.5,1.8,9.6,Tilia cordata
6.0,4.0,12.6,1.8,5.9,Platanus x hispanica
15.0,8.0,50.3,4.5,34.6,Aesculus hippocastanum
10.5,10.0,78.5,3.2,4.5,Celtis australis
17.0,12.0,113.1,5.1,74.0,Platanus x hispanica
5.0,2.5,4.9,1.5,1.7,Celtis australis
9.0,8.0,50.3,2.7,2.6,Celtis australis
4.5,4.0,12.6,1.3,6.0,Aesculus hippocastanum
10.0,9.0,63.6,3.0,3.1,Celtis australis
5.0,4.0,12.6,1.5,2.5,Celtis australis
8.0,8.0,50.3,2.4,3.4,Celtis australis
8.0,6.0,28.3,2.4,2.6,Celtis australis
19.0,11.0,95.0,5.7,75.4,Platanus x hispanica
5.0,2.0,3.1,1.5,1.3,Celtis australis
6.5,5.0,19.6,1.9,9.4,Platanus x hispanica
5.0,4.0,12.6,1.5,2.5,Celtis australis
3.5,2.0,3.1,1.0,3.8,Aesculus hippocastanum
7.0,6.0,28.3,2.1,3.0,Celtis australis
18.0,16.0,201.1,5.4,68.4,Platanus x hispanica
8.0,5.0,19.6,2.4,52.5,Aesculus hippocastanum
6.0,5.0,19.6,1.8,2.1,Celtis australis
6.0,5.0,19.6,1.8,1.8,Celtis australis
10.0,7.0,38.5,3.0,3.9,Celtis australis
25.0,20.0,314.2,7.5,1.8,Platanus x hispanica
4.0,6.0,28.3,1.2,3.0,Celtis australis
4.5,3.0,7.1,1.3,1.8,Celtis australis
5.0,4.0,12.6,1.5,2.6,Celtis australis
12.0,12.0,113.1,3.6,5.1,Celtis australis
5.0,4.0,12.6,1.5,7.8,Aesculus hippocastanum
8.0,8.0,50.3,2.4,13.0,Tilia cordata
20.0,12.0,113.1,6.0,82.6,Platanus x hispanica
5.0,3.0,7.1,1.5,4.1,Platanus x hispanica
12.0,10.0,78.5,3.6,4.6,Celtis australis
24.0,18.0,254.5,7.2,0.7,Platanus x hispanica
5.5,5.0,19.6,1.7,2.1,Celtis australis
9.0,7.0,38.5,2.7,3.8,Celtis australis
3.0,2.0,3.1,0.9,6.7,Carpinus betulus
12.0,11.0,95.0,3.6,21.8,Tilia cordata
7.0,7.0,38.5,2.1,12.8,Aesculus hippocastanum
4.0,3.0,7.1,1.2,3.0,Carpinus betulus
5.0,4.0,12.6,1.5,2.6,Celtis australis
8.0,8.0,50.3,2.4,2.8,Celtis australis
18.0,17.0,227.0,5.4,21.7,Platanus x hispanica
19.0,17.0,227.0,5.7,82.6,Platanus x hispanica
19.0,14.0,153.9,5.7,89.9,Platanus x hispanica
7.0,7.0,38.5,2.1,7.9,Platanus x hispanica
7.0,5.0,19.6,2.1,3.9,Celtis australis
6.0,9.0,63.6,1.8,5.1,Celtis australis
10.0,8.0,50.3,3.0,19.5,Aesculus hippocastanum
11.0,8.0,50.3,3.3,14.2,Tilia cordata
8.3,6.7,35.2,2.5,3.5,Celtis australis
8.0,7.0,38.5,2.4,2.6,Celtis australis
16.0,12.0,113.1,4.8,5.4,Celtis australis
7.0,9.0,63.6,2.1,3.5,Celtis australis
7.0,6.0,28.3,2.1,10.5,Carpinus betulus
11.0,10.0,78.5,3.3,5.4,Celtis australis
10.0,7.0,38.5,3.0,59.0,Aesculus hippocastanum
4.0,2.5,4.9,1.2,3.0,Tilia cordata
8.3,6.7,35.2,2.5,3.5,Celtis australis
12.0,8.0,50.3,3.6,4.5,Celtis australis
8.0,7.0,38.5,2.4,35.5,Aesculus hippocastanum
5.0,2.0,3.1,1.5,4.5,Carpinus betulus
13.0,11.5,103.9,3.9,5.2,Celtis australis
5.0,4.0,12.6,1.5,2.1,Celtis australis
6.0,5.0,19.6,1.8,26.1,Aesculus hippocastanum
6.0,6.0,28.3,1.8,3.1,Celtis australis
9.0,4.0,12.6,2.7,39.9,Aesculus hippocastanum
24.0,17.0,227.0,7.2,93.1,Platanus x hispanica
10.0,12.0,113.1,3.0,3.8,Celtis australis
6.0,4.0,12.6,1.8,2.5,Celtis australis
7.0,6.0,28.3,2.1,5.1,Tilia cordata
11.0,8.0,50.3,3.3,36.0,Aesculus hippocastanum
15.0,11.0,95.0,4.5,5.1,Celtis australis
5.0,6.0,28.3,1.5,3.4,Celtis australis
10.0,6.0,28.3,3.0,17.0,Aesculus hippocastanum
6.0,2.5,4.9,1.8,4.1,Platanus x hispanica
6.5,5.0,19.6,1.9,7.9,Platanus x hispanica
8.0,7.0,38.5,2.4,16.7,Aesculus hippocastanum
6.0,4.0,12.6,1.8,2.6,Celtis australis
8.4,6.4,32.7,2.5,25.1,Aesculus hippocastanum
22.0,16.0,201.1,6.6,0.7,Platanus x hispanica
12.0,14.0,153.9,3.6,54.7,Platanus x hispanica
7.0,9.0,63.6,2.1,20.5,Tilia cordata
25.0,4.0,12.6,7.5,1.3,Carpinus betulus
6.0,5.0,19.6,1.8,3.4,Celtis australis
21.0,16.0,201.1,6.3,93.1,Platanus x hispanica
3.0,1.0,0.8,0.9,2.2,Tilia cordata
6.0,5.0,19.6,1.8,2.0,Celtis australis
24.0,12.0,113.1,7.2,97.3,Platanus x hispanica
10.0,10.0,78.5,3.0,3.5,Celtis australis
4.0,4.0,12.6,1.2,2.1,Celtis australis
17.0,12.0,113.1,5.1,48.2,Platanus x hispanica
5.0,5.0,19.6,1.5,34.9,Aesculus hippocastanum
4.5,1.5,1.8,1.3,3.0,Platanus x hispanica
6.0,4.0,12.6,1.8,5.1,Tilia cordata
6.0,5.0,19.6,1.8,2.1,Celtis australis
4.0,5.0,19.6,1.2,4.5,Carpinus betulus
14.0,8.0,50.3,4.2,9.9,Carpinus betulus
3.0,1.3,1.3,0.9,2.9,Aesculus hippocastanum
9.0,7.0,38.5,2.7,2.8,Celtis australis
7.0,3.0,7.1,2.1,4.6,Platanus x hispanica
4.5,4.0,12.6,1.3,4.2,Tilia cordata
3.5,2.0,3.1,1.0,4.8,Aesculus hippocastanum
8.0,6.0,28.3,2.4,29.3,Aesculus hippocastanum
4.0,5.0,19.6,1.2,2.3,Celtis australis
5.0,3.0,7.1,1.5,12.5,Aesculus hippocastanum
8.3,6.7,35.2,2.5,3.5,Celtis australis
6.0,4.0,12.6,1.8,2.1,Celtis australis
13.0,9.0,63.6,3.9,33.2,Tilia cordata
6.0,2.5,4.9,1.8,4.1,Platanus x hispanica
14.0,12.0,113.1,4.2,66.3,Aesculus hippocastanum
12.0,13.0,132.7,3.6,36.1,Aesculus hippocastanum
4.0,3.0,7.1,1.2,11.2,Carpinus betulus
6.0,6.0,28.3,1.8,4.1,Platanus x hispanica
4.0,2.5,4.9,1.2,3.0,Tilia cordata
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
12.0,10.0,78.5,3.6,3.7,Celtis australis
9.0,7.0,38.5,2.7,3.4,Celtis australis
6.0,8.0,50.3,1.8,4.4,Celtis australis
6.0,6.0,28.3,1.8,14.8,Tilia cordata
15.0,8.0,50.3,4.5,73.2,Aesculus hippocastanum
