Neighborhood,Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Count
S.GIUSEPPE-S.CHIARA,Other,16,14,153.9,4.8,48.5,2
CENTRO STORICO PIEDICASTELLO,Celtis australis,16,12,113.1,4.8,5.4,1
S.GIUSEPPE-S.CHIARA,Other,6,4,12.6,1.8,8.699999999999999,1
OLTREFERSINA,Other,5,4,12.6,1.5,4.1,1
OLTREFERSINA,Other,1.3,1.7,2.1,0.4,5.1,1
OLTREFERSINA,Celtis australis,10,8,50.3,3,4.9,1
S.GIUSEPPE-S.CHIARA,Other,10.4,6,28.2,3.1,7,1
GARDOLO,Other,4,3,7.1,1.2,3.6,2
OLTREFERSINA,Other,5.5,4,12.6,1.7,7.7,1
S.GIUSEPPE-S.CHIARA,Other,12,8,50.3,3.6,27.9,1
S.GIUSEPPE-S.CHIARA,Celtis australis,10,6,28.3,3,4.8,2
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12,8,50.3,3.6,26.1,3
S.GIUSEPPE-S.CHIARA,Other,4.5,2,3.1,1.3,2.2,1
ARGENTARIO,Other,4,2,3.1,1.2,19.3,1
S.GIUSEPPE-S.CHIARA,Other,4.5,2,3.1,1.3,0.5,1
RAVINA-ROMAGNANO,Celtis australis,5,4,12.6,1.5,2.6,1
ARGENTARIO,Other,7,4,12.6,2.1,8.4,4
CENTRO STORICO PIEDICASTELLO,Other,10,10,78.5,3,0.8,1
S.GIUSEPPE-S.CHIARA,Other,4,1.5,1.8,1.2,3.2,1
CENTRO STORICO PIEDICASTELLO,Other,8,5,19.6,2.4,12.6,1
S.GIUSEPPE-S.CHIARA,Other,11,6,28.3,3.3,15.1,1
VILLAZZANO,Other,10,5,19.6,3,16.8,2
GARDOLO,Tilia cordata,7,5,19.6,2.1,13,2
OLTREFERSINA,Other,4,3.5,9.6,1.2,4.4,1
OLTREFERSINA,Other,14,8,50.3,4.2,35.5,1
GARDOLO,Other,4,2,3.1,1.2,13,2
CENTRO STORICO PIEDICASTELLO,Other,2,1.5,1.8,0.6,5.6,1
MATTARELLO,Other,5,2,3.1,1.5,4.3,1
S.GIUSEPPE-S.CHIARA,Other,4,2.5,4.9,1.2,11.6,2
CENTRO STORICO PIEDICASTELLO,Other,17,11,95,5.1,107.1,1
CENTRO STORICO PIEDICASTELLO,Other,11,12,113.1,3.3,43.4,1
S.GIUSEPPE-S.CHIARA,Other,10,3,7.1,3,36.6,1
OLTREFERSINA,Tilia cordata,13,10,78.5,3.9,16,1
CENTRO STORICO PIEDICASTELLO,Other,12,10,78.5,3.6,50.1,1
CENTRO STORICO PIEDICASTELLO,Other,10,1.5,1.8,3,5.1,1
OLTREFERSINA,Other,4,3,7.1,1.2,5.1,3
MATTARELLO,Other,5,5,19.6,1.5,18.2,2
S.GIUSEPPE-S.CHIARA,Other,5,2,3.1,1.5,3.3,2
VILLAZZANO,Other,14,5,19.6,4.2,0.7,1
OLTREFERSINA,Other,8,3.5,9.6,2.4,6.3,1
ARGENTARIO,Celtis australis,10,8,50.3,3,3.4,1
S.GIUSEPPE-S.CHIARA,Other,6,5,19.6,1.8,57.7,1
ARGENTARIO,Carpinus betulus,3,1,0.8,0.9,4.5,3
S.GIUSEPPE-S.CHIARA,Other,5,2,3.1,1.5,3.2,2
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,6,4,12.6,1.8,10.9,1
S.GIUSEPPE-S.CHIARA,Other,18,6,28.3,5.4,21.4,8
OLTREFERSINA,Celtis australis,12,12,113.1,3.6,4.7,1
RAVINA-ROMAGNANO,Other,14,5,19.6,4.2,20,1
CENTRO STORICO PIEDICASTELLO,Other,6,6,28.3,1.8,6.4,3
VILLAZZANO,Tilia cordata,4.5,3,7.1,1.3,2.2,3
OLTREFERSINA,Other,5,4,12.6,1.5,8.1,1
GARDOLO,Other,6.5,6,28.3,1.9,12.7,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,4,3,7.1,1.2,8.6,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,6,9,63.6,1.8,3.4,1
S.GIUSEPPE-S.CHIARA,Other,12,8,50.3,3.6,19.3,1
CENTRO STORICO PIEDICASTELLO,Other,8,3,7.1,2.4,4.5,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,25,4,12.6,7.5,3.9,1
S.GIUSEPPE-S.CHIARA,Other,5,2,3.1,1.5,2.2,1
VILLAZZANO,Other,5,2,3.1,1.5,15.6,1
MEANO,Other,6,6,28.3,1.8,7.1,2
CENTRO STORICO PIEDICASTELLO,Other,10,6,28.3,3,60,1
CENTRO STORICO PIEDICASTELLO,Other,8,4,12.6,2.4,8.6,1
S.GIUSEPPE-S.CHIARA,Other,10,7,38.5,3,9.199999999999999,2
GARDOLO,Other,2,2,3.1,0.6,1,1
OLTREFERSINA,Other,8,5,19.6,2.4,8.1,1
OLTREFERSINA,Other,8,4,12.6,2.4,7.1,1
CENTRO STORICO PIEDICASTELLO,Other,11,12,113.1,3.3,10,1
ARGENTARIO,Celtis australis,5,7,38.5,1.5,3,1
CENTRO STORICO PIEDICASTELLO,Other,6.5,7,38.5,1.9,4.8,1
S.GIUSEPPE-S.CHIARA,Other,7,6,28.3,2.1,7.7,1
OLTREFERSINA,Other,2,1,0.8,0.6,2.6,2
CENTRO STORICO PIEDICASTELLO,Other,11,8,50.3,3.3,18,1
OLTREFERSINA,Other,5,4,12.6,1.5,8.6,2
MATTARELLO,Other,5,3,7.1,1.5,16.8,1
OLTREFERSINA,Other,10,7,38.5,3,7.4,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,3.5,2.5,4.9,1,3.8,1
S.GIUSEPPE-S.CHIARA,Other,12,6,28.3,3.6,12,1
S.GIUSEPPE-S.CHIARA,Other,4,2,3.1,1.2,4.6,3
S.GIUSEPPE-S.CHIARA,Other,11,8,50.3,3.3,11.9,1
OLTREFERSINA,Other,8,6,28.3,2.4,13.6,1
GARDOLO,Other,11,5,19.6,3.3,11.3,3
CENTRO STORICO PIEDICASTELLO,Other,10,15,176.7,3,17.6,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12,9,63.6,3.6,72.5,1
S.GIUSEPPE-S.CHIARA,Other,8,3,7.1,2.4,11.8,1
OLTREFERSINA,Other,10,6,28.3,3,17.4,1
S.GIUSEPPE-S.CHIARA,Other,9,8,50.3,2.7,24,1
RAVINA-ROMAGNANO,Other,5,5,19.6,1.5,17.9,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,5.6,2.5,4.9,1.7,5,1
GARDOLO,Other,5,4,12.6,1.5,10.2,1
CENTRO STORICO PIEDICASTELLO,Other,10,3,7.1,3,9.800000000000001,1
GARDOLO,Other,3,2,3.1,0.9,2.2,1
OLTREFERSINA,Other,12,3,7.1,3.6,25.5,1
OLTREFERSINA,Other,13,10,78.5,3.9,21.3,1
CENTRO STORICO PIEDICASTELLO,Other,8,5.3,21.7,2.4,21.5,1
CENTRO STORICO PIEDICASTELLO,Other,15,14,153.9,4.5,24.5,1
S.GIUSEPPE-S.CHIARA,Other,15,6,28.3,4.5,19.7,1
VILLAZZANO,Other,5,2.5,4.9,1.5,3.9,3
CENTRO STORICO PIEDICASTELLO,Other,7,6,28.3,2.1,27.1,1
GARDOLO,Other,5,2,3.1,1.5,3.5,2
BONDONE,Other,7,4,12.6,2.1,8.9,1
CENTRO STORICO PIEDICASTELLO,Other,9,4,12.6,2.7,24.6,1
MATTARELLO,Other,6,3,7.1,1.8,23.4,1
CENTRO STORICO PIEDICASTELLO,Other,3.5,1,0.8,1,1.3,2
S.GIUSEPPE-S.CHIARA,Other,5,3,7.1,1.5,5.8,2
ARGENTARIO,Other,10,5,19.6,3,23.8,1
OLTREFERSINA,Other,6,4,12.6,1.8,18.7,1
OLTREFERSINA,Platanus x hispanica,21,11,95,6.3,94.3,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,10,4,12.6,3,26.7,1
S.GIUSEPPE-S.CHIARA,Platanus x hispanica,12,14,153.9,3.6,68.40000000000001,1
S.GIUSEPPE-S.CHIARA,Other,5,4,12.6,1.5,16.7,1
MEANO,Other,4,1,0.8,1.2,3.9,1
OLTREFERSINA,Other,5.5,4,12.6,1.7,8.5,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,11,12,113.1,3.3,47.1,1
S.GIUSEPPE-S.CHIARA,Other,15,7,38.5,4.5,16.2,1
GARDOLO,Other,6,3,7.1,1.8,5.8,2
GARDOLO,Celtis australis,6,6,28.3,1.8,2.5,2
OLTREFERSINA,Other,4,2.5,4.9,1.2,3.8,1
OLTREFERSINA,Other,8,3,7.1,2.4,6.1,1
VILLAZZANO,Other,6,3.5,9.6,1.8,5,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,12,10,78.5,3.6,42.7,1
CENTRO STORICO PIEDICASTELLO,Other,10.3,6.6,34.3,3.1,17.1,1
VILLAZZANO,Other,10,4,12.6,3,13.6,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,24,18,254.5,7.2,14.6,1
GARDOLO,Other,6,8,50.3,1.8,36.7,2
OLTREFERSINA,Other,6,4,12.6,1.8,16,1
OLTREFERSINA,Tilia cordata,9,6,28.3,2.7,14.2,1
ARGENTARIO,Other,4,2,3.1,1.2,6.7,4
CENTRO STORICO PIEDICASTELLO,Other,4,4,12.6,1.2,12.4,1
OLTREFERSINA,Other,4.5,4,12.6,1.3,5.3,1
CENTRO STORICO PIEDICASTELLO,Other,5,4,12.6,1.5,2,3
OLTREFERSINA,Other,10,9,63.6,3,21.1,1
OLTREFERSINA,Other,6.9,4.3,14.6,2.1,8.699999999999999,1
CENTRO STORICO PIEDICASTELLO,Other,19,12,113.1,5.7,77.2,1
CENTRO STORICO PIEDICASTELLO,Other,4.5,3.3,8.5,1.3,8.800000000000001,2
OLTREFERSINA,Carpinus betulus,12,7,38.5,3.6,16.2,1
CENTRO STORICO PIEDICASTELLO,Other,7,9,63.6,2.1,7.4,1
VILLAZZANO,Other,4,3,7.1,1.2,3.9,1
GARDOLO,Other,13,5,19.6,3.9,27.1,1
GARDOLO,Other,11,4,12.6,3.3,11.3,1
RAVINA-ROMAGNANO,Other,13,14,153.9,3.9,19,1
OLTREFERSINA,Other,13,11,95,3.9,52,1
BONDONE,Other,7,6,28.3,2.1,22.2,3
ARGENTARIO,Other,16,8,50.3,4.8,15.1,1
SARDAGNA,Other,5,2.5,4.9,1.5,5.2,1
GARDOLO,Other,10,4,12.6,3,7.4,1
GARDOLO,Other,11,7,38.5,3.3,37.5,1
GARDOLO,Celtis australis,6,8,50.3,1.8,4.4,2
BONDONE,Other,16,6,28.3,4.8,16.3,3
CENTRO STORICO PIEDICASTELLO,Other,20,10,78.5,6,23.1,1
CENTRO STORICO PIEDICASTELLO,Other,5,3,7.1,1.5,2.8,1
SARDAGNA,Other,6,5,19.6,1.8,5,2
CENTRO STORICO PIEDICASTELLO,Other,12,5,19.6,3.6,18.2,1
S.GIUSEPPE-S.CHIARA,Other,6,6,28.3,1.8,17.3,1
S.GIUSEPPE-S.CHIARA,Platanus x hispanica,22,18,254.5,6.6,1.8,1
OLTREFERSINA,Celtis australis,5,5,19.6,1.5,2.3,2
S.GIUSEPPE-S.CHIARA,Other,4,2,3.1,1.2,4.8,1
OLTREFERSINA,Other,6.5,4.6,16.4,1.9,17.8,4
CENTRO STORICO PIEDICASTELLO,Tilia cordata,21,8,50.3,6.3,33.2,1
CENTRO STORICO PIEDICASTELLO,Other,8,8,50.3,2.4,47.3,1
CENTRO STORICO PIEDICASTELLO,Other,4,5,19.6,1.2,2.8,1
S.GIUSEPPE-S.CHIARA,Other,6,5,19.6,1.8,21.1,1
OLTREFERSINA,Carpinus betulus,3.5,1,0.8,1,3.5,1
GARDOLO,Other,3.5,1.5,1.8,1,1.9,3
GARDOLO,Celtis australis,6,4,12.6,1.8,2.8,1
OLTREFERSINA,Other,13,11,95,3.9,50.4,1
S.GIUSEPPE-S.CHIARA,Other,11,7,38.5,3.3,15.1,1
RAVINA-ROMAGNANO,Other,4,2,3.1,1.2,13,1
ARGENTARIO,Other,4,3,7.1,1.2,10.6,2
OLTREFERSINA,Other,21,14,153.9,6.3,48.8,1
OLTREFERSINA,Other,17,9,63.6,5.1,73.09999999999999,1
GARDOLO,Tilia cordata,3,1,0.8,0.9,2.6,1
OLTREFERSINA,Other,5,2.5,4.9,1.5,5.2,1
OLTREFERSINA,Other,10,3,7.1,3,11.9,1
S.GIUSEPPE-S.CHIARA,Other,8,8,50.3,2.4,11.9,1
OLTREFERSINA,Other,3.5,2.5,4.9,1,4,1
GARDOLO,Platanus x hispanica,7,6,28.3,2.1,10.9,1
CENTRO STORICO PIEDICASTELLO,Other,9,8,50.3,2.7,17.4,1
VILLAZZANO,Other,5,3,7.1,1.5,4.3,4
S.GIUSEPPE-S.CHIARA,Other,12,5,19.6,3.6,18.3,1
OLTREFERSINA,Other,14,4,12.6,4.2,9.5,1
OLTREFERSINA,Other,6,5,19.6,1.8,13.3,2
ARGENTARIO,Platanus x hispanica,8,7,38.5,2.4,9.4,1
S.GIUSEPPE-S.CHIARA,Tilia cordata,6,3,7.1,1.8,4.2,1
OLTREFERSINA,Other,6,5,19.6,1.8,9.699999999999999,1
GARDOLO,Platanus x hispanica,6,2.5,4.9,1.8,4.1,4
MEANO,Celtis australis,4,2,3.1,1.2,2.1,1
OLTREFERSINA,Other,22,10,78.5,6.6,58.3,1
OLTREFERSINA,Other,6,6,28.3,1.8,12.8,1
CENTRO STORICO PIEDICASTELLO,Other,8,6,28.3,2.4,14,1
CENTRO STORICO PIEDICASTELLO,Other,5,3,7.1,1.5,7.5,1
GARDOLO,Other,6,8,50.3,1.8,15.5,1
CENTRO STORICO PIEDICASTELLO,Other,16,12,113.1,4.8,16.3,1
RAVINA-ROMAGNANO,Other,4,1,0.8,1.2,5.1,2
OLTREFERSINA,Other,12,6,28.3,3.6,37.8,1
CENTRO STORICO PIEDICASTELLO,Other,16,5,19.6,4.8,10.5,1
VILLAZZANO,Other,20,4,12.6,6,24.2,1
OLTREFERSINA,Other,20,12,113.1,6,68.40000000000001,5
CENTRO STORICO PIEDICASTELLO,Other,5.5,3,7.1,1.7,7.1,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,10,12,113.1,3,46.9,1
OLTREFERSINA,Other,12,10,78.5,3.6,33.8,3
ARGENTARIO,Other,11,4,12.6,3.3,19.2,1
S.GIUSEPPE-S.CHIARA,Other,10,3,7.1,3,8.9,1
ARGENTARIO,Other,15,5,19.6,4.5,20.8,1
RAVINA-ROMAGNANO,Other,4,3,7.1,1.2,13.3,14
CENTRO STORICO PIEDICASTELLO,Other,2,3,7.1,0.6,2.5,1
S.GIUSEPPE-S.CHIARA,Other,4,1.5,1.8,1.2,1.7,8
CENTRO STORICO PIEDICASTELLO,Other,11,5,19.6,3.3,7.4,1
GARDOLO,Other,6,5,19.6,1.8,5.1,4
OLTREFERSINA,Other,7,6,28.3,2.1,11.5,1
S.GIUSEPPE-S.CHIARA,Other,12,8,50.3,3.6,22.4,1
VILLAZZANO,Other,8,3,7.1,2.4,3.9,2
GARDOLO,Other,4,3,7.1,1.2,7.5,3
S.GIUSEPPE-S.CHIARA,Other,4,2.5,4.9,1.2,8.1,2
CENTRO STORICO PIEDICASTELLO,Other,9,7,38.5,2.7,10,1
S.GIUSEPPE-S.CHIARA,Other,15,8,50.3,4.5,88.2,1
CENTRO STORICO PIEDICASTELLO,Other,8,5,19.6,2.4,12.9,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,3.5,3.5,9.6,1,5.4,1
POVO,Aesculus hippocastanum,10,4,12.6,3,46.9,3
SARDAGNA,Other,3.5,1.5,1.8,1,2.8,1
S.GIUSEPPE-S.CHIARA,Other,6,4,12.6,1.8,4.5,2
GARDOLO,Celtis australis,10,12,113.1,3,3.4,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,9,7,38.5,2.7,22.8,1
S.GIUSEPPE-S.CHIARA,Tilia cordata,11,10,78.5,3.3,11.9,1
S.GIUSEPPE-S.CHIARA,Other,4,3,7.1,1.2,2.3,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,4,3,7.1,1.2,7.9,1
CENTRO STORICO PIEDICASTELLO,Other,4,2.5,4.9,1.2,3.2,1
OLTREFERSINA,Other,4,2,3.1,1.2,9.4,2
OLTREFERSINA,Other,8,5,19.6,2.4,5.5,1
CENTRO STORICO PIEDICASTELLO,Other,3,2,3.1,0.9,2.6,1
OLTREFERSINA,Other,19,10,78.5,5.7,41,1
CENTRO STORICO PIEDICASTELLO,Other,4,3,7.1,1.2,7.7,4
S.GIUSEPPE-S.CHIARA,Other,4,2,3.1,1.2,2,13
OLTREFERSINA,Other,6,3,7.1,1.8,10.1,1
GARDOLO,Other,6,7,38.5,1.8,38.8,1
S.GIUSEPPE-S.CHIARA,Other,6,2,3.1,1.8,13,1
OLTREFERSINA,Celtis australis,9,8,50.3,2.7,3.4,1
VILLAZZANO,Other,8,7,38.5,2.4,25.4,1
CENTRO STORICO PIEDICASTELLO,Other,7,11,95,2.1,9.199999999999999,1
OLTREFERSINA,Tilia cordata,4.5,2,3.1,1.3,3,1
GARDOLO,Other,5,4,12.6,1.5,1.8,1
CENTRO STORICO PIEDICASTELLO,Other,13,10,78.5,3.9,67.2,1
OLTREFERSINA,Celtis australis,8,7,38.5,2.4,2.2,1
S.GIUSEPPE-S.CHIARA,Other,7,12,113.1,2.1,10.3,2
CENTRO STORICO PIEDICASTELLO,Other,11,7,38.5,3.3,8.5,1
GARDOLO,Other,4,1.5,1.8,1.2,7.1,3
BONDONE,Other,14,6,28.3,4.2,9.9,2
OLTREFERSINA,Other,5,7,38.5,1.5,16.5,1
S.GIUSEPPE-S.CHIARA,Other,4,4,12.6,1.2,2.3,1
CENTRO STORICO PIEDICASTELLO,Other,19,11,95,5.7,58,2
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,6,3.5,9.6,1.8,4.1,1
S.GIUSEPPE-S.CHIARA,Other,3,2,3.1,0.9,3.2,8
CENTRO STORICO PIEDICASTELLO,Other,8,5,19.6,2.4,14.3,1
S.GIUSEPPE-S.CHIARA,Other,7,6,28.3,2.1,6,2
CENTRO STORICO PIEDICASTELLO,Other,5,3,7.1,1.5,7,1
S.GIUSEPPE-S.CHIARA,Other,10,10,78.5,3,10.4,8
POVO,Platanus x hispanica,8,11,95,2.4,54.7,1
CENTRO STORICO PIEDICASTELLO,Other,16,10,78.5,4.8,17.5,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,17,12,113.1,5.1,46.4,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12,10,78.5,3.6,79.3,1
OLTREFERSINA,Other,6,3,7.1,1.8,1.5,2
S.GIUSEPPE-S.CHIARA,Celtis australis,7,6,28.3,2.1,2.5,4
S.GIUSEPPE-S.CHIARA,Other,9,6,28.3,2.7,28.8,1
CENTRO STORICO PIEDICASTELLO,Other,8,6,28.3,2.4,58.4,1
OLTREFERSINA,Other,1.8,5.3,21.7,0.5,22.2,3
CENTRO STORICO PIEDICASTELLO,Other,12,8,50.3,3.6,25.7,1
RAVINA-ROMAGNANO,Celtis australis,8,8,50.3,2.4,4.5,1
OLTREFERSINA,Other,4,4,12.6,1.2,3,2
GARDOLO,Other,3,1,0.8,0.9,3.2,3
CENTRO STORICO PIEDICASTELLO,Other,5.5,3,7.1,1.7,4.6,1
CENTRO STORICO PIEDICASTELLO,Other,8,6,28.3,2.4,15.6,2
CENTRO STORICO PIEDICASTELLO,Other,5.5,3,7.1,1.7,5.7,1
BONDONE,Aesculus hippocastanum,4,3,7.1,1.2,9.6,1
S.GIUSEPPE-S.CHIARA,Other,4,2.5,4.9,1.2,1.3,2
CENTRO STORICO PIEDICASTELLO,Other,20,8,50.3,6,25.5,1
CENTRO STORICO PIEDICASTELLO,Other,5,4,12.6,1.5,9.199999999999999,3
OLTREFERSINA,Other,4,8.800000000000001,60.3,1.2,69.09999999999999,2
CENTRO STORICO PIEDICASTELLO,Other,6,4,12.6,1.8,5.2,2
CENTRO STORICO PIEDICASTELLO,Celtis australis,8,10,78.5,2.4,3.1,1
ARGENTARIO,Other,22,16,201.1,6.6,53.5,1
GARDOLO,Other,5,2,3.1,1.5,2.8,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,13,4,12.6,3.9,10.5,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12,13,132.7,3.6,36.1,1
GARDOLO,Other,6,2,3.1,1.8,4.1,1
OLTREFERSINA,Carpinus betulus,9,6,28.3,2.7,13.8,1
S.GIUSEPPE-S.CHIARA,Other,7,5,19.6,2.1,13.4,1
S.GIUSEPPE-S.CHIARA,Other,5.5,4,12.6,1.7,5.5,2
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,10,6,28.3,3,20.4,1
VILLAZZANO,Other,4,3,7.1,1.2,2.7,1
S.GIUSEPPE-S.CHIARA,Platanus x hispanica,25,18,254.5,7.5,14.6,1
OLTREFERSINA,Other,3.5,3,7.1,1,3.8,1
S.GIUSEPPE-S.CHIARA,Platanus x hispanica,6,6,28.3,1.8,4.1,1
GARDOLO,Other,3.5,7,38.5,1,12.1,1
S.GIUSEPPE-S.CHIARA,Other,23,14,153.9,6.9,33.6,1
GARDOLO,Other,3,1,0.8,0.9,2.4,1
RAVINA-ROMAGNANO,Other,6,4,12.6,1.8,7.9,2
CENTRO STORICO PIEDICASTELLO,Other,8,4,12.6,2.4,16.5,2
S.GIUSEPPE-S.CHIARA,Other,4,3.5,9.6,1.2,4.3,1
GARDOLO,Other,6,3,7.1,1.8,1.2,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,8,8,50.3,2.4,33.4,1
MEANO,Other,6,4,12.6,1.8,16,1
CENTRO STORICO PIEDICASTELLO,Other,7,6,28.3,2.1,8.1,1
S.GIUSEPPE-S.CHIARA,Other,10,11,95,3,19.7,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,17,12,113.1,5.1,1.2,1
S.GIUSEPPE-S.CHIARA,Other,5,10,78.5,1.5,9.6,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,18,11,95,5.4,2.2,1
S.GIUSEPPE-S.CHIARA,Other,4,8,50.3,1.2,6.4,1
CENTRO STORICO PIEDICASTELLO,Other,14,7,38.5,4.2,13.5,1
CENTRO STORICO PIEDICASTELLO,Other,3,0.4,0.1,0.9,8.699999999999999,1
